Tushar,tusharmore938@gmail.com,07721066904,BMW,A8,2015,25000000,Diesel,50
Yash Makode,yash@gmail.com,1234567890,Toyota,Supra,2018,5500000,Diesel,12
Vinit Bhosale,vinit@gmail.com,8912313388,Suzuki,Swift,2011,800000,CNG,15
Om Patil,om@gmail.com,9827163527,Suzuki,Eritiga,2010,900000,Diesel,10
Prajwal Dinde,prajwal@gmail.com,8756352617,Tata,Tiago,2020,900000,CNG,15
Prathmesh Amundkar,pa@gmail.com,8382828283,Toyota,Fortuner,2016,2000000,Diesel,20
Ashish More,ashish@gmail.com,1234567890,BMW,GT,2013,8000000,Electric,30
Rohan Nandi,rohan@gmal.com,0987654321,Tata,Safari,2011,2500000,Petrol+CNG,20
Sahil Pardeshi,sahil@gmail.com,72672621762,Audi,R8,2011,7000000,Diesel,20
Pranay Sable,pranay@gmail.com,2178178217,Suzuki,Swift,2018,950000,CNG,10
Raj Zite,raj@gmail.com,3232343542,Suzuki,Wagner,2011,700000,CNG,9
Tushar,tusharmore938@gmail.com,07721066904,BMW,GT,2018,8000000,Diesel,20
Ashlesh More,ashlesh@gmail.com,3293823921,BMW,I4,2019,6990000,Diesel,30
admin,admin@gmail.com,1213243565,Toyota,Innova,2015,2500000,Electric,15
Tushar,tusharmore938@gmail.com,07721066904,BMW,A8,2015,2500000,CNG,60
Tushar,tusharmore938@gmail.com,07721066904,BMW,A8,2015,25000000,CNG,zzz
